datahora,diasemchuva,precipitacao,riscofogo,latitude,longitude
2017/02/16 19:35:15,0.0,0.0,0.13,-19.7347,-57.4796
2017/02/01 17:44:00,0.0,76.0,0.0,-18.83013,-57.2188
2017/02/19 01:30:48,0.0,0.0,0.03,-19.8346004486084,-57.584300994873
2017/02/13 04:49:00,0.0,7.7,0.0,-19.71276,-57.46674
2017/02/09 22:30:00,0.0,1.2,0.02,-19.71,-57.43
2017/02/08 04:42:00,0.0,4.2,0.11,-19.2678,-55.336059999999996
2017/02/28 17:37:00,0.0,1.2,0.04,-19.74546,-57.48412
2017/02/10 05:45:00,0.0,41.8,0.0,-19.710829999999998,-57.45496
2017/02/05 18:09:00,0.0,0.6,1.0,-19.537979999999997,-58.013769999999994
2017/02/18 17:25:00,0.0,16.7,0.0,-19.67936,-57.441
2017/02/20 04:17:00,0.0,23.7,0.0,-18.80282,-57.33647
2017/02/04 16:48:00,0.0,0.6,0.13,-17.48236,-57.25666
2017/02/19 22:53:23,0.0,0.0,0.1,-19.8686,-57.6121
2017/02/01 05:13:00,0.0,9.8,0.09,-18.36151,-55.63694
2017/02/01 23:01:29,0.0,51.4,0.0,-18.8744,-57.3437
2017/02/01 17:44:00,0.0,18.1,0.0,-18.49286,-57.3993
2017/02/05 14:28:00,0.0,91.5,,-18.405,-57.336999999999996
2017/02/21 00:45:00,0.0,18.8,,-19.6156005859375,-57.4793014526367
2017/02/21 00:49:07,0.0,18.8,,-19.6156005859375,-57.4793014526367
2017/02/15 16:41:00,0.0,0.0,0.14,-20.05386,-55.654959999999996
2017/02/01 17:38:00,0.0,121.0,0.0,-19.729,-57.832
2017/02/01 18:30:00,0.0,67.6,0.0,-18.91,-57.32
2017/02/01 22:30:00,0.0,102.5,0.0,-19.54,-57.97
2017/02/01 22:49:42,0.0,113.9,0.98,-19.5706,-58.0408
2017/02/01 17:45:00,0.0,15.5,0.01,-16.134320000000002,-57.193909999999995
2017/02/01 17:44:00,0.0,164.6,0.0,-20.674670000000003,-57.95636999999999
2017/02/01 22:41:55,0.0,113.9,0.98,-19.5789,-58.0302
2017/02/01 05:13:00,0.0,9.8,0.09,-18.361279999999997,-55.63916999999999
2017/02/01 23:01:31,0.0,10.2,0.01,-18.4259,-55.6458
2017/02/01 17:44:00,0.0,13.3,0.02,-17.44851,-57.316680000000005
2017/02/01 23:30:00,0.0,102.5,0.0,-19.54,-58.0
2017/02/01 22:41:55,0.0,113.9,1.0,-19.5679,-58.0248
2017/02/01 17:44:00,0.0,114.9,0.0,-19.72784,-57.52479
2017/02/01 17:44:00,0.0,51.4,0.0,-18.89925,-57.33546
2017/02/01 21:52:01,0.0,113.9,1.0,-19.565,-58.0357
2017/02/01 21:52:00,0.0,113.9,0.34,-19.5918,-58.0092
2017/02/01 22:41:55,0.0,113.9,1.0,-19.5554,-58.0113
2017/02/01 22:41:55,0.0,113.9,0.98,-19.5776,-58.0222
2017/02/01 22:41:55,0.0,113.9,0.91,-19.5803,-58.0382
2017/02/01 23:30:00,0.0,113.9,0.98,-19.58,-58.02
2017/02/01 23:00:00,0.0,113.9,1.0,-19.54,-58.02
2017/02/01 23:30:00,0.0,113.9,1.0,-19.54,-58.02
2017/02/01 21:49:16,0.0,113.9,1.0,-19.565,-58.0357
